num_firms;num_customers;network_type;pref_att_links;acc_step;l_ind;l_wom;l_ad;a;s_v0;s_a;s_e;maxstock;wealth;risk;buyer_memory;p;c;d;cpp;a;ai;num_links;max_iter;roi;mgn;cst;market_size;sales_quantity;final_quanlity_expectation;final_uncertainty
4;200;random;1;1;1;1;1;1;0,5;0,5;0,5;30;25;50;15000;60;30;0;1;0,05;-0,025;200;365;10,55342466;9630;912,5;1669;321;0,96072444;0,047872017
4;200;random;1;1;1;1;1;1;0,5;0,5;0,5;30;25;50;15000;60;30;0;1;0,05;-0,025;200;365;10,3890411;9480;912,5;1481;316;1,001957186;0,050279517
4;200;random;1;1;1;1;1;1;0,5;0,5;0,5;10;50;50;15000;60;30;0;1;0,05;-0,025;200;365;43,85753425;40020;912,5;5983;1334;0,955520439;0,044643775
4;200;random;1;1;1;1;1;1;0,5;0,5;0,5;10;50;50;15000;60;30;0;1;0,05;-0,025;200;365;35,24383562;32160;912,5;4923;1072;0,990147121;0,045730199
4;200;random;1;1;1;1;1;1;0,5;0,5;0,5;10;50;50;15000;60;30;0;1;0,05;-0,025;200;365;38,36712329;35010;912,5;5574;1167;0,964895338;0,043221094
4;200;random;1;1;1;1;1;1;0,5;0,5;0,5;10;50;50;15000;60;30;0;1;0,05;-0,025;200;365;43,95616438;40110;912,5;5604;1337;0,973114598;0,043533046
4;200;random;1;1;1;1;1;1;0,5;0,5;0,5;10;50;50;15000;60;30;0;1;0,05;-0,025;200;365;43,16712329;39390;912,5;5857;1313;0,971235973;0,044466831
4;200;random;1;1;1;1;1;1;0,5;0,5;0,5;10;50;50;15000;60;30;0;1;0,05;-0,025;200;365;37,05205479;33810;912,5;5290;1127;0,957004225;0,046049099
4;200;random;1;1;1;1;1;1;0,5;0,5;0,5;10;50;50;15000;60;30;0;1;0,05;-0,025;200;365;40,93150685;37350;912,5;5575;1245;0,968116644;0,043242265
4;200;random;1;1;1;1;1;1;0,5;0,5;0,5;10;50;50;15000;60;30;0;1;0,05;-0,025;200;365;40,96438356;37380;912,5;5632;1246;0,99179128;0,044570843
4;200;random;1;1;1;1;1;1;0,5;0,5;0,5;10;50;50;15000;60;30;0;1;0,05;-0,025;200;365;40,40547945;36870;912,5;5990;1229;0,953737973;0,043843199
4;200;random;1;1;1;1;1;1;0,5;0,5;0,5;10;50;50;15000;60;30;0;1;0,05;-0,025;200;365;35,14520548;32070;912,5;5052;1069;0,966641059;0,045871342
4;200;random;1;1;1;1;1;1;0,5;0,5;0,5;20;50;50;15000;60;30;0;1;0,05;-0,025;200;365;22,29041096;20340;912,5;3116;678;0,9721494;0,045843804
4;200;random;1;1;1;1;1;1;0,5;0,5;0,5;20;50;50;15000;60;30;0;1;0,05;-0,025;200;365;20,18630137;18420;912,5;3131;614;1,006363413;0,048470188
4;200;random;1;1;1;1;1;1;0,5;0,5;0,5;20;50;50;15000;60;30;0;1;0,05;-0,025;200;365;14,99178082;13680;912,5;2482;456;0,9641407;0,048791368
4;200;random;1;1;1;1;1;1;0,5;0,5;0,5;20;50;50;15000;60;30;0;1;0,05;-0,025;200;365;21,96164384;20040;912,5;3125;668;0,987657712;0,047049613
4;200;random;1;1;1;1;1;1;0,5;0,5;0,5;20;50;50;15000;60;30;0;1;0,05;-0,025;200;365;20,31780822;18540;912,5;3002;618;0,975465569;0,04804736
4;200;random;1;1;1;1;1;1;0,5;0,5;0,5;20;50;50;15000;60;30;0;1;0,05;-0,025;200;365;17,16164384;15660;912,5;2699;522;0,987929173;0,047402011
4;200;random;1;1;1;1;1;1;0,5;0,5;0,5;20;50;50;15000;60;30;0;1;0,05;-0,025;200;365;26,33424658;24030;912,5;2974;801;0,972575046;0,043749231
4;200;random;1;1;1;1;1;1;0,5;0,5;0,5;20;50;50;15000;60;30;0;1;0,05;-0,025;200;365;17,52328767;15990;912,5;2741;533;0,975446033;0,051914978
4;200;random;1;1;1;1;1;1;0,5;0,5;0,5;20;50;50;15000;60;30;0;1;0,05;-0,025;200;365;24,13150685;22020;912,5;3104;734;0,992914938;0,046159905
4;200;random;1;1;1;1;1;1;0,5;0,5;0,5;20;50;50;15000;60;30;0;1;0,05;-0,025;200;365;17,91780822;16350;912,5;2801;545;0,979213223;0,048019163
4;200;random;1;1;1;1;1;1;0,5;0,5;0,5;30;50;50;15000;60;30;0;1;0,05;-0,025;200;365;10,48767123;9570;912,5;1870;319;0,984898658;0,052367154
4;200;random;1;1;1;1;1;1;0,5;0,5;0,5;30;50;50;15000;60;30;0;1;0,05;-0,025;200;365;14,4;13140;912,5;2171;438;0,989396063;0,048799634
4;200;random;1;1;1;1;1;1;0,5;0,5;0,5;30;50;50;15000;60;30;0;1;0,05;-0,025;200;365;15,32054795;13980;912,5;2165;466;0,960525974;0,051032069
4;200;random;1;1;1;1;1;1;0,5;0,5;0,5;30;50;50;15000;60;30;0;1;0,05;-0,025;200;365;10,32328767;9420;912,5;1838;314;0,967660922;0,051136321
4;200;random;1;1;1;1;1;1;0,5;0,5;0,5;30;50;50;15000;60;30;0;1;0,05;-0,025;200;365;15,87945205;14490;912,5;2191;483;0,974764681;0,047312934
